2023-12-09 19:26:01,757 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2394] milliseconds
2023-12-09 19:26:04,554 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [5179] milliseconds
2023-12-09 19:26:29,432 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [18198] -- Next runtime: Sat Dec 09 19:41:29 IST 2023
2023-12-09 19:26:32,159 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2726] milliseconds
2023-12-09 19:36:59,848 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15759
2023-12-09 19:36:59,848 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15804
2023-12-09 19:36:59,854 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15805
2023-12-09 19:37:29,861 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15760
2023-12-09 19:37:29,861 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15806
2023-12-09 19:37:29,866 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15761
2023-12-09 19:40:59,991 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [18199] -- Next runtime: Sat Dec 09 19:55:59 IST 2023
2023-12-09 19:40:59,997 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [18200] -- Next runtime: Sat Dec 09 19:55:59 IST 2023
2023-12-09 19:41:02,801 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2810] milliseconds
2023-12-09 19:41:04,465 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [4468] milliseconds
2023-12-09 19:41:30,020 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [18201] -- Next runtime: Sat Dec 09 19:56:30 IST 2023
2023-12-09 19:41:32,144 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2124] milliseconds
2023-12-09 19:52:00,364 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15808
2023-12-09 19:52:30,387 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15809
2023-12-09 19:53:00,399 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15812
2023-12-09 19:56:00,485 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [18193] -- Next runtime: Sat Dec 09 20:56:00 IST 2023
2023-12-09 19:56:00,487 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [18202] -- Next runtime: Sat Dec 09 20:11:00 IST 2023
2023-12-09 19:56:00,622 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
