2023-12-28 11:21:21,300 |OFBiz-batch-2        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-28 11:21:21,303 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-12-28 11:21:21,303 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-12-28 11:21:21,303 |OFBiz-batch-3        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-12-28 11:21:21,320 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation None            [false]
2023-12-28 11:21:21,320 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-12-28 11:21:21,322 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-12-28 11:21:21,323 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-12-28 11:21:21,323 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-12-28 11:21:21,323 |OFBiz-batch-3        |DatabaseUtil                  |I| - forward only type         [true]
2023-12-28 11:21:21,323 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-12-28 11:21:21,324 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-12-28 11:21:21,324 |OFBiz-batch-3        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-12-28 11:21:21,324 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-12-28 11:21:21,324 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-12-28 11:21:21,325 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-28 11:21:21,327 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-28 11:21:21,335 |OFBiz-batch-3        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-28 11:21:21,336 |OFBiz-batch-3        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-28 11:21:21,336 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-12-28 11:21:21,336 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-12-28 11:21:21,336 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-12-28 11:21:21,336 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-12-28 11:21:21,336 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-12-28 11:21:21,336 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-12-28 11:21:21,337 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-12-28 11:21:21,337 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-12-28 11:21:21,337 |OFBiz-batch-3        |DatabaseUtil                  |I| - outer joins               [true]*
2023-12-28 11:21:21,337 |OFBiz-batch-3        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-12-28 11:21:21,337 |OFBiz-batch-3        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-28 11:21:21,337 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-28 11:21:21,337 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-28 11:21:21,337 |OFBiz-batch-3        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-28 11:21:21,338 |OFBiz-batch-3        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-28 11:21:21,338 |OFBiz-batch-3        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-28 11:21:21,339 |OFBiz-batch-3        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-28 11:21:21,339 |OFBiz-batch-3        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-28 11:21:21,339 |OFBiz-batch-3        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-28 11:21:21,339 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-28 11:21:21,300 |OFBiz-batch-2        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-28 11:21:21,341 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-28 11:21:21,356 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-28 11:21:21,392 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-28 11:21:21,450 |OFBiz-batch-3        |DatabaseUtil                  |I| Reviewed 8 primary key fields from database.
2023-12-28 11:21:21,484 |OFBiz-batch-1        |DatabaseUtil                  |I| Reviewed 9 primary key fields from database.
2023-12-28 11:21:22,078 |OFBiz-batch-2        |DatabaseUtil                  |I| Reviewed 1717 primary key fields from database.
2023-12-28 11:21:22,116 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [DIFFICULTY_LEVEL] of table [public.QUESTION_MASTER] of entity [QuestionMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-28 11:21:22,124 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [PERFORMANCE_ID] of table [public.USER_ATTEMPT_ANSWER_MASTER] of entity [UserAttemptAnswerMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-28 11:21:22,125 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [IS_FLAGGED] of table [public.USER_ATTEMPT_ANSWER_MASTER] of entity [UserAttemptAnswerMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
