2023-12-07 15:38:23,572 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2023-12-07 15:38:23,803 |sse-nio-8443-exec-10 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2023-12-07 15:38:23,806 |sse-nio-8443-exec-10 |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-07 15:38:23,813 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [4] milliseconds
2023-12-07 15:38:23,814 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [10] milliseconds
2023-12-07 15:38:23,925 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Done- total:0.358,since last([webtools::entity...):0.358]]
2023-12-07 15:38:32,062 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-07 15:38:32,110 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-07 15:38:32,112 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.017s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-07 15:38:32,131 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/portal-controller.xml
2023-12-07 15:38:32,147 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.001s, 30 requests, 13 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/security-controller.xml
2023-12-07 15:38:32,165 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
