2023-12-28 09:42:56,575 |jsse-nio-8443-exec-9 |ConfigXMLReader               |I| controller loaded: 0.02s, 24 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-28 09:42:56,577 |jsse-nio-8443-exec-9 |NoModule                      |O| examName is..English
2023-12-28 09:42:56,577 |jsse-nio-8443-exec-9 |NoModule                      |O| 1
2023-12-28 09:42:56,577 |jsse-nio-8443-exec-9 |NoModule                      |O| TopicName......Constraints
2023-12-28 09:42:56,577 |jsse-nio-8443-exec-9 |NoModule                      |O| 20
2023-12-28 09:42:56,577 |jsse-nio-8443-exec-9 |NoModule                      |O| TopicName......Grammer
2023-12-28 09:42:56,577 |jsse-nio-8443-exec-9 |NoModule                      |O| 15
2023-12-28 09:42:56,577 |jsse-nio-8443-exec-9 |NoModule                      |O| TopicName......Constraints
2023-12-28 09:42:56,578 |jsse-nio-8443-exec-9 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=1, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=Constraints}, {topicId=20, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=20.00, topicName=Grammer}, {topicId=15, questionsPerExam=100, examName=English, percentage=50.00, examId=2, topicPassPercentage=25.00, topicName=Constraints}], genericvalue=[GenericEntity:ExamMaster][answersMust,null()][createdStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][createdTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][creationDate,null()][description,english language(java.lang.String)][durationMinutes,20(java.lang.Long)][enableNegativeMark,null()][examId,2(java.lang.String)][examName,English(java.lang.String)][expirationDate,null()][lastUpdatedStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][lastUpdatedTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][negativeMarkValue,null()][noOfQuestions,10(java.lang.Long)][passPercentage,35.00(java.math.BigDecimal)][questionsRandomized,null()]}
2023-12-28 09:42:56,578 |jsse-nio-8443-exec-9 |ExamTopicMappingMasterEvent   |I| ===== =========
2023-12-28 09:42:56,578 |jsse-nio-8443-exec-9 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.ExamTopicMappingMasterEvent#getExamTopicEvent] from [request], result is [success]
2023-12-28 09:42:56,579 |jsse-nio-8443-exec-9 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-28 09:42:56,579 |jsse-nio-8443-exec-9 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-28 09:42:56,580 |jsse-nio-8443-exec-9 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-28 09:42:56,583 |jsse-nio-8443-exec-9 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-28 09:42:56,585 |jsse-nio-8443-exec-9 |ControlServlet                |T| [[[onlineexam::getExamTopicEvent (Domain:https://localhost)] Request Done- total:0.043,since last([onlineexam::getE...):0.043]]
2023-12-28 09:43:32,006 |jsse-nio-8443-exec-6 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-28 09:43:32,015 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[onlineexam::getExamTopicEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-28 09:43:32,052 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-28 09:43:32,053 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.008s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-28 09:43:32,054 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.021s, 24 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-28 09:43:32,055 |jsse-nio-8443-exec-5 |NoModule                      |O| examName is..English
2023-12-28 09:43:32,055 |jsse-nio-8443-exec-5 |NoModule                      |O| 1
2023-12-28 09:43:32,055 |jsse-nio-8443-exec-5 |NoModule                      |O| TopicName......Constraints
2023-12-28 09:43:32,055 |jsse-nio-8443-exec-5 |NoModule                      |O| 20
2023-12-28 09:43:32,056 |jsse-nio-8443-exec-5 |NoModule                      |O| TopicName......Grammer
2023-12-28 09:43:32,056 |jsse-nio-8443-exec-5 |NoModule                      |O| 15
2023-12-28 09:43:32,056 |jsse-nio-8443-exec-5 |NoModule                      |O| TopicName......Constraints
2023-12-28 09:43:32,056 |jsse-nio-8443-exec-5 |NoModule                      |O| ExamTopicMapping{ExamTopicMapping=[{topicId=1, questionsPerExam=100, examName=English, percentage=100.00, examId=2, topicPassPercentage=25.00, topicName=Constraints}, {topicId=20, questionsPerExam=50, examName=English, percentage=50.00, examId=2, topicPassPercentage=20.00, topicName=Grammer}, {topicId=15, questionsPerExam=100, examName=English, percentage=50.00, examId=2, topicPassPercentage=25.00, topicName=Constraints}], genericvalue=[GenericEntity:ExamMaster][answersMust,null()][createdStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][createdTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][creationDate,null()][description,english language(java.lang.String)][durationMinutes,20(java.lang.Long)][enableNegativeMark,null()][examId,2(java.lang.String)][examName,English(java.lang.String)][expirationDate,null()][lastUpdatedStamp,2023-11-24 12:28:53.704(java.sql.Timestamp)][lastUpdatedTxStamp,2023-11-24 12:28:53.685(java.sql.Timestamp)][negativeMarkValue,null()][noOfQuestions,10(java.lang.Long)][passPercentage,35.00(java.math.BigDecimal)][questionsRandomized,null()]}
2023-12-28 09:43:32,056 |jsse-nio-8443-exec-5 |ExamTopicMappingMasterEvent   |I| ===== =========
2023-12-28 09:43:32,056 |jsse-nio-8443-exec-5 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.ExamTopicMappingMasterEvent#getExamTopicEvent] from [request], result is [success]
