2023-12-20 13:10:19,897 |sse-nio-8443-exec-19 |ControlServlet                |T| [[[onlineexam::getExamTopicEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-20 13:10:19,897 |sse-nio-8443-exec-19 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-20 13:10:19,899 |sse-nio-8443-exec-19 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-20 13:10:19,899 |sse-nio-8443-exec-21 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-20 13:10:19,900 |sse-nio-8443-exec-21 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamTopicMappingMasterEvent#getExamTopicEvent] from [request], result is [error]
2023-12-20 13:10:19,900 |sse-nio-8443-exec-19 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamTopicMappingMasterEvent#getExamTopicEvent] from [request], result is [error]
2023-12-20 13:10:19,900 |sse-nio-8443-exec-19 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-20 13:10:19,900 |sse-nio-8443-exec-21 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-20 13:10:19,900 |sse-nio-8443-exec-21 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-20 13:10:19,900 |sse-nio-8443-exec-19 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-20 13:10:19,901 |sse-nio-8443-exec-21 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-20 13:10:19,901 |sse-nio-8443-exec-19 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-20 13:10:19,901 |sse-nio-8443-exec-19 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-20 13:10:19,902 |sse-nio-8443-exec-21 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-20 13:10:19,903 |sse-nio-8443-exec-21 |ControlServlet                |T| [[[onlineexam::getExamTopicEvent (Domain:https://localhost)] Request Done- total:0.006,since last([onlineexam::getE...):0.006]]
2023-12-20 13:10:19,903 |sse-nio-8443-exec-19 |ControlServlet                |T| [[[onlineexam::getExamTopicEvent (Domain:https://localhost)] Request Done- total:0.006,since last([onlineexam::getE...):0.006]]
2023-12-20 13:10:19,905 |sse-nio-8443-exec-17 |ControlServlet                |T| [[[onlineexam::getExamTopicEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-20 13:10:19,905 |sse-nio-8443-exec-17 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-20 13:10:19,908 |sse-nio-8443-exec-17 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-20 13:10:19,909 |sse-nio-8443-exec-17 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamTopicMappingMasterEvent#getExamTopicEvent] from [request], result is [error]
