2023-12-18 13:05:32,654 |jsse-nio-8443-exec-9 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-18 13:05:32,670 |jsse-nio-8443-exec-9 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-18 13:05:32,670 |jsse-nio-8443-exec-9 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-18 13:05:32,671 |jsse-nio-8443-exec-9 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-18 13:05:32,672 |jsse-nio-8443-exec-9 |CommonEvents                  |W| for security reason (OFBIZ-5409) the '//' prefix was added handling the JSON response.  Normally you simply have to access the data you want, so should not be annoyed by the '//' prefix.You might need to remove it if you use Ajax GET responses (not recommended).In case, the util.js scrpt is there to help you.This can be customized in general.properties with the http.json.xssi.prefix property
2023-12-18 13:05:32,684 |jsse-nio-8443-exec-5 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-18 13:05:32,685 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-18 13:05:32,685 |jsse-nio-8443-exec-5 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-18 13:05:32,714 |jsse-nio-8443-exec-9 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-18 13:05:32,715 |jsse-nio-8443-exec-5 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-18 13:05:32,722 |jsse-nio-8443-exec-5 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-18 13:05:32,723 |jsse-nio-8443-exec-5 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-18 13:05:32,723 |jsse-nio-8443-exec-5 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-18 13:05:32,724 |jsse-nio-8443-exec-5 |CommonEvents                  |W| for security reason (OFBIZ-5409) the '//' prefix was added handling the JSON response.  Normally you simply have to access the data you want, so should not be annoyed by the '//' prefix.You might need to remove it if you use Ajax GET responses (not recommended).In case, the util.js scrpt is there to help you.This can be customized in general.properties with the http.json.xssi.prefix property
2023-12-18 13:05:32,731 |jsse-nio-8443-exec-5 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-18 13:05:32,740 |jsse-nio-8443-exec-5 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-18 13:05:32,752 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.067,since last([onlineexam::exam...):0.067]]
2023-12-18 13:05:32,766 |jsse-nio-8443-exec-9 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-18 13:05:32,769 |jsse-nio-8443-exec-9 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.2,since last([onlineexam::exam...):0.2]]
2023-12-18 13:05:43,428 |OFBiz-JobQueue-0     |TransactionUtil               |W| No transaction in place, so not suspending.
2023-12-18 13:05:43,432 |OFBiz-JobQueue-0     |SequenceUtil                  |I| Got bank of sequenced IDs for [JobSandbox]; curSeqId=21100, maxSeqId=21200, bankSize=100
2023-12-18 13:05:43,440 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [21001] -- Next runtime: Mon Dec 18 13:20:43 IST 2023
2023-12-18 13:05:43,455 |OFBiz-JobQueue-0     |AbstractEngine                |I| Loaded Service Locations: {rita-rmi=rmi://localhost:1099/RMIDispatcher, main-rmi=rmi://localhost:1099/RMIDispatcher, entity-sync-rmi=rmi://localhost:1099/RMIDispatcher}
2023-12-18 13:05:43,460 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [21000] -- Next runtime: Mon Dec 18 13:20:43 IST 2023
2023-12-18 13:05:43,485 |OFBiz-JobQueue-0     |ScriptUtil                    |I| The following 2 scripting engines were found:
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I| Engine name: BeanShell Engine
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Version: 1.0
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Language: BeanShell
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Engine supports the following extensions:
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     bsh
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     java
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Engine has the following short names:
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     beanshell
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     bsh
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     java
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I| Engine name: Groovy Scripting Engine
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Version: 2.0
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Language: Groovy
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Engine supports the following extensions:
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     groovy
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Engine has the following short names:
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     groovy
2023-12-18 13:05:43,486 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     Groovy
2023-12-18 13:05:50,839 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [7388] milliseconds
2023-12-18 13:05:50,887 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [21003] -- Next runtime: Mon Dec 18 13:20:50 IST 2023
2023-12-18 13:05:50,894 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [5] milliseconds
2023-12-18 13:05:50,904 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [21019] -- Next runtime: Mon Dec 18 13:20:50 IST 2023
2023-12-18 13:05:50,913 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [8] milliseconds
2023-12-18 13:05:52,422 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [8962] milliseconds
2023-12-18 13:06:11,615 |jsse-nio-8443-exec-4 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-18 13:06:11,617 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-18 13:06:11,618 |jsse-nio-8443-exec-4 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-18 13:06:11,704 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-18 13:06:11,707 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.021s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-18 13:06:11,708 |jsse-nio-8443-exec-4 |ConfigXMLReader               |I| controller loaded: 0.044s, 15 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-18 13:06:11,709 |jsse-nio-8443-exec-4 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-18 13:06:11,717 |jsse-nio-8443-exec-4 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-18 13:06:11,717 |jsse-nio-8443-exec-4 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-18 13:06:11,718 |jsse-nio-8443-exec-4 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
