2023-12-18 17:56:28,465 |main                 |ContainerLoader               |I| Starting container catalina-container
2023-12-18 17:56:28,617 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [11] Entity ECA definitions from C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\content/entitydef/eecas.xml in loader main
2023-12-18 17:56:28,620 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [4] Entity ECA definitions from C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\workeffort/entitydef/eecas.xml in loader main
2023-12-18 17:56:28,625 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [14] Entity ECA definitions from C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\product/entitydef/eecas.xml in loader main
2023-12-18 17:56:28,631 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [2] Entity ECA definitions from C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\accounting/entitydef/eecas.xml in loader main
2023-12-18 17:56:28,635 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [3] Entity ECA definitions from C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\order/entitydef/eecas.xml in loader main
2023-12-18 17:56:28,689 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [1] Group definitions from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/servicedef/groups_test.xml
2023-12-18 17:56:28,692 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [4] Group definitions from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/entityext/servicedef/groups.xml
2023-12-18 17:56:28,693 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [15] Entity ECA definitions from C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\lucene/entitydef/eecas_product.xml in loader main
2023-12-18 17:56:28,695 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [2] Group definitions from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/servicedef/service_groups.xml
2023-12-18 17:56:28,699 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [1] Group definitions from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/product/servicedef/groups.xml
2023-12-18 17:56:28,703 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [1] Entity ECA definitions from C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\projectmgr/entitydef/eecas.xml in loader main
2023-12-18 17:56:28,707 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [0] Entity ECA definitions from C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\solr/entitydef/eecas.xml in loader main
2023-12-18 17:56:28,716 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [4] Group definitions from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/servicedef/groups.xml
2023-12-18 17:56:28,740 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/servicedef/secas_test.xml
2023-12-18 17:56:28,742 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/servicedef/secas_cdyne.xml
2023-12-18 17:56:28,748 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/service/servicedef/secas_test_se.xml
2023-12-18 17:56:28,751 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [25] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/party/servicedef/secas.xml
2023-12-18 17:56:28,754 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [25] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/content/servicedef/secas.xml
2023-12-18 17:56:28,756 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [14] Service ECA Rules from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/workeffort/servicedef/secas.xml
