2023-12-18 16:28:06,005 |main                 |ServiceDispatcher             |I| Registering dispatcher: accounting
2023-12-18 16:28:06,005 |main                 |ServiceContainer              |I| Created new dispatcher: accounting
2023-12-18 16:28:06,008 |main                 |ControlServlet                |I| Loading webapp [accounting], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\accounting\webapp\accounting\
2023-12-18 16:28:06,047 |main                 |ServiceDispatcher             |I| Registering dispatcher: ar
2023-12-18 16:28:06,047 |main                 |ServiceContainer              |I| Created new dispatcher: ar
2023-12-18 16:28:06,049 |main                 |ControlServlet                |I| Loading webapp [ar], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\accounting\webapp\ar\
2023-12-18 16:28:06,062 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 16 requests, 10 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/accounting/webapp/ar/WEB-INF/controller.xml
2023-12-18 16:28:06,105 |main                 |ServiceDispatcher             |I| Registering dispatcher: example
2023-12-18 16:28:06,106 |main                 |ServiceContainer              |I| Created new dispatcher: example
2023-12-18 16:28:06,108 |main                 |ControlServlet                |I| Loading webapp [example], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\example\webapp\example\
2023-12-18 16:28:06,175 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 2 requests, 2 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/example/widget/example/ExampleCompoundWidgets.xml
2023-12-18 16:28:06,178 |main                 |ConfigXMLReader               |I| controller loaded: 0.053s, 51 requests, 35 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/example/webapp/example/WEB-INF/controller.xml
2023-12-18 16:28:06,286 |main                 |ServiceDispatcher             |I| Registering dispatcher: manufacturing
2023-12-18 16:28:06,287 |main                 |ServiceContainer              |I| Created new dispatcher: manufacturing
2023-12-18 16:28:06,289 |main                 |ControlServlet                |I| Loading webapp [manufacturing], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\manufacturing\webapp\manufacturing\
2023-12-18 16:28:06,334 |main                 |ConfigXMLReader               |I| controller loaded: 0.01s, 149 requests, 66 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/manufacturing/webapp/manufacturing/WEB-INF/controller.xml
2023-12-18 16:28:06,366 |main                 |ServiceDispatcher             |I| Registering dispatcher: pricat
2023-12-18 16:28:06,367 |main                 |ServiceContainer              |I| Created new dispatcher: pricat
2023-12-18 16:28:06,369 |main                 |ControlServlet                |I| Loading webapp [pricatdemo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\pricat\webapp\pricatdemo\
2023-12-18 16:28:06,381 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 7 requests, 5 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/pricat/webapp/pricatdemo/WEB-INF/controller.xml
2023-12-18 16:28:06,428 |main                 |ServiceDispatcher             |I| Registering dispatcher: bi
2023-12-18 16:28:06,428 |main                 |ServiceContainer              |I| Created new dispatcher: bi
2023-12-18 16:28:06,431 |main                 |ControlServlet                |I| Loading webapp [bi], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\bi\webapp\bi\
2023-12-18 16:28:06,450 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 6 requests, 4 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/bi/webapp/bi/WEB-INF/controller.xml
2023-12-18 16:28:06,501 |main                 |ServiceDispatcher             |I| Registering dispatcher: ecommerce
2023-12-18 16:28:06,501 |main                 |ServiceContainer              |I| Created new dispatcher: ecommerce
2023-12-18 16:28:06,505 |main                 |ControlServlet                |I| Loading webapp [ecomseo], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\ecommerce\webapp\ecomseo\
2023-12-18 16:28:06,557 |main                 |ConfigXMLReader               |I| controller loaded: 0.013s, 290 requests, 96 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ecommerce/webapp/ecommerce/WEB-INF/controller.xml
2023-12-18 16:28:06,557 |main                 |ConfigXMLReader               |I| controller loaded: 0.038s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/ecommerce/webapp/ecomseo/WEB-INF/controller.xml
2023-12-18 16:28:06,568 |main                 |SeoConfigUtil                 |I| Parsing ^.*/.*$
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I| Parsing category-url [true]:
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I|   allowed-context-paths: /
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I|   allowed-context-paths: /ecomseo
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I|   category-name: false
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I|   category-url-suffix: .html
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I| Parsing jsessionid [true]:
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I|   anonymous: false
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I|   exceptions: 
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I|     url-pattern: ^.*/(keywordsearch|logout).*$
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I|   user: false
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I| Parsing url-config
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I|   url-pattern: ^(.*);jsessionid=(.*)jvm[1-9](.*)$
2023-12-18 16:28:06,569 |main                 |SeoConfigUtil                 |I|     seo replacement: $1$3
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|     forward replacement: $1$3
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/main$
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/main$
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|     seo replacement: /
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|     forward replacement: /
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/control/(.*)$
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/$1
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/$1
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I| Parsing char-filter: 
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00fc
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|   replacement: ue
2023-12-18 16:28:06,570 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00e4
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   replacement: ae
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00f6
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   replacement: oe
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00df
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   replacement: ss
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   character-pattern: \\+
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   character-pattern: \u0026
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   replacement: und
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   character-pattern: è
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   replacement: e
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   character-pattern: [^A-Za-z0-9+-]
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   character-pattern: -{2,}
