2023-12-18 08:18:10,830 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19510
2023-12-18 08:18:10,832 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19729
2023-12-18 08:18:10,832 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19744
2023-12-18 08:18:10,833 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19728
2023-12-18 08:18:10,833 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19508
2023-12-18 08:18:10,835 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19211
2023-12-18 08:18:10,835 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19223
2023-12-18 08:18:10,836 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19222
2023-12-18 08:18:10,837 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19221
2023-12-18 08:18:10,838 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19743
2023-12-18 08:18:10,838 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19742
2023-12-18 08:18:10,839 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19741
2023-12-18 08:18:10,840 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19740
2023-12-18 08:18:10,841 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19718
2023-12-18 08:18:10,841 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19506
2023-12-18 08:18:10,843 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19402
2023-12-18 08:18:10,843 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19721
2023-12-18 08:18:10,844 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19727
2023-12-18 08:18:10,844 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19403
2023-12-18 08:18:10,846 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19782
2023-12-18 08:18:10,846 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19738
2023-12-18 08:18:10,847 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19708
2023-12-18 08:18:10,847 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19707
2023-12-18 08:18:10,849 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19714
2023-12-18 08:18:10,849 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19715
2023-12-18 08:18:10,851 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19713
2023-12-18 08:18:10,851 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19711
2023-12-18 08:18:10,852 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19710
2023-12-18 08:18:10,852 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19704
2023-12-18 08:18:10,854 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19783
2023-12-18 08:18:10,854 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19503
2023-12-18 08:18:10,855 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19781
2023-12-18 08:18:10,855 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19502
2023-12-18 08:18:10,857 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19733
2023-12-18 08:18:10,857 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19734
2023-12-18 08:18:10,858 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19501
2023-12-18 08:18:10,858 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19764
2023-12-18 08:18:10,859 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19705
2023-12-18 08:18:10,859 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19209
2023-12-18 08:18:10,861 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19505
2023-12-18 08:18:10,861 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19504
2023-12-18 08:18:10,863 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19779
2023-12-18 08:18:10,863 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19500
2023-12-18 08:18:10,864 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19717
2023-12-18 08:18:10,865 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19706
2023-12-18 08:18:10,866 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19716
2023-12-18 08:18:10,866 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19712
2023-12-18 08:18:10,868 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19709
2023-12-18 08:18:10,868 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19703
2023-12-18 08:18:10,870 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19701
2023-12-18 08:18:10,870 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19406
2023-12-18 08:18:10,872 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19405
2023-12-18 08:18:10,872 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19404
2023-12-18 08:18:10,874 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19739
2023-12-18 08:18:10,874 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19400
2023-12-18 08:18:10,875 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19735
2023-12-18 08:18:10,875 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19303
2023-12-18 08:18:10,877 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19732
2023-12-18 08:18:10,877 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19302
2023-12-18 08:18:10,879 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19780
2023-12-18 08:18:10,879 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19731
2023-12-18 08:18:10,881 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19730
2023-12-18 08:18:10,881 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19702
2023-12-18 08:18:10,883 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19700
2023-12-18 08:18:10,883 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19401
2023-12-18 08:18:10,885 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19301
2023-12-18 08:18:10,885 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19778
2023-12-18 08:18:10,886 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19300
2023-12-18 08:18:10,886 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19774
2023-12-18 08:18:10,888 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19773
2023-12-18 08:18:10,888 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19777
2023-12-18 08:18:10,890 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19770
2023-12-18 08:18:10,890 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19769
2023-12-18 08:18:10,892 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19767
2023-12-18 08:18:10,892 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 19768
2023-12-18 08:18:10,895 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 19771
