2023-12-02 00:52:32,468 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [15311] -- Next runtime: Sun Dec 03 00:00:00 IST 2023
2023-12-02 00:52:32,470 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [2] milliseconds
2023-12-02 00:52:32,474 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [15310] -- Next runtime: Sun Dec 03 00:00:00 IST 2023
2023-12-02 00:52:32,475 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [1] milliseconds
2023-12-02 00:52:32,479 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [15309] -- Next runtime: Sun Dec 03 00:00:00 IST 2023
2023-12-02 00:52:32,481 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [2] milliseconds
2023-12-02 00:52:32,485 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [15308] -- Next runtime: Sun Dec 03 00:00:00 IST 2023
2023-12-02 00:52:32,487 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [2] milliseconds
2023-12-02 00:52:32,624 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [2389] milliseconds
2023-12-02 12:06:58,815 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15492] -- Next runtime: Sat Dec 02 12:21:58 IST 2023
2023-12-02 12:06:58,816 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15493] -- Next runtime: Sat Dec 02 12:21:58 IST 2023
2023-12-02 12:06:59,659 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [843] milliseconds
2023-12-02 12:06:59,662 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15494] -- Next runtime: Sat Dec 02 12:21:59 IST 2023
2023-12-02 12:06:59,665 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2] milliseconds
2023-12-02 12:06:59,671 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15495] -- Next runtime: Sat Dec 02 13:06:59 IST 2023
2023-12-02 12:06:59,691 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-02 12:07:00,543 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1727] milliseconds
2023-12-02 12:07:00,547 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15496] -- Next runtime: Sat Dec 02 13:07:00 IST 2023
2023-12-02 12:07:00,548 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
