2023-12-19 14:36:56,201 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-19 14:36:56,204 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-12-19 14:36:56,209 |OFBiz-batch-1        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-19 14:36:56,209 |OFBiz-batch-1        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-19 14:36:56,210 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-12-19 14:36:56,210 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-12-19 14:36:56,213 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-12-19 14:36:56,215 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-12-19 14:36:56,216 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-12-19 14:36:56,216 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-12-19 14:36:56,216 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-12-19 14:36:56,216 |OFBiz-batch-1        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-12-19 14:36:56,216 |OFBiz-batch-1        |DatabaseUtil                  |I| - outer joins               [true]*
2023-12-19 14:36:56,216 |OFBiz-batch-1        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-12-19 14:36:56,216 |OFBiz-batch-1        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-19 14:36:56,216 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-19 14:36:56,217 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-19 14:36:56,217 |OFBiz-batch-1        |DatabaseUtil                  |I| - column aliasing           [true]
