2023-11-18 09:57:43,420 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [531] milliseconds
2023-11-18 09:57:43,421 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-18 09:57:43,421 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [563] milliseconds
2023-11-18 09:57:43,513 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [180] milliseconds
2023-11-18 09:57:43,513 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-18 09:57:43,514 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [181] milliseconds
2023-11-18 09:57:44,413 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1555] milliseconds
2023-11-18 09:57:45,046 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1713] milliseconds
2023-11-18 09:58:11,218 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11526
2023-11-18 09:58:11,220 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11560
2023-11-18 09:58:11,222 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11536
2023-11-18 09:58:11,223 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11537
2023-11-18 09:58:11,224 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11529
2023-11-18 09:58:11,226 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11530
2023-11-18 09:58:11,227 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11531
2023-11-18 09:58:11,228 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11532
2023-11-18 09:58:11,230 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11533
2023-11-18 09:58:11,231 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11563
2023-11-18 09:58:11,232 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11534
2023-11-18 09:58:11,233 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11535
2023-11-18 09:58:11,233 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11528
2023-11-18 09:58:11,235 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11527
2023-11-18 10:06:41,510 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11564
2023-11-18 10:12:41,653 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [13141] -- Next runtime: Sat Nov 18 10:27:41 IST 2023
2023-11-18 10:12:41,658 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [13140] -- Next runtime: Sat Nov 18 10:27:41 IST 2023
2023-11-18 10:12:42,399 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [741] milliseconds
2023-11-18 10:12:43,099 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1446] milliseconds
2023-11-18 10:21:41,918 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11600
2023-11-18 10:27:42,101 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [13168] -- Next runtime: Sat Nov 18 10:42:42 IST 2023
2023-11-18 10:27:42,103 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [13169] -- Next runtime: Sat Nov 18 10:42:42 IST 2023
2023-11-18 10:27:42,821 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [719] milliseconds
2023-11-18 10:27:43,591 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1488] milliseconds
2023-11-18 10:36:42,401 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11601
2023-11-18 12:10:05,874 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-11-18 12:10:06,082 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\themes]
2023-11-18 12:10:06,139 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\applications]
2023-11-18 12:10:06,273 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\plugins]
2023-11-18 12:10:06,489 |main                 |ComponentContainer            |I| All components loaded
2023-11-18 12:10:06,489 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2023-11-18 12:10:06,490 |main                 |ContainerLoader               |I| Loading container: admin-container
2023-11-18 12:10:06,498 |main                 |ContainerLoader               |I| Loaded container: admin-container
2023-11-18 12:10:06,498 |main                 |ContainerLoader               |I| Loading container: delegator-container
2023-11-18 12:10:06,500 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2023-11-18 12:10:06,500 |main                 |ContainerLoader               |I| Loading container: service-container
2023-11-18 12:10:06,504 |main                 |ContainerLoader               |I| Loaded container: service-container
2023-11-18 12:10:06,504 |main                 |ContainerLoader               |I| Loading container: catalina-container
2023-11-18 12:10:06,790 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set scheme=http
2023-11-18 12:10:06,795 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secure=false
2023-11-18 12:10:06,801 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set URIEncoding=UTF-8
2023-11-18 12:10:06,801 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set xpoweredBy=false
2023-11-18 12:10:06,802 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secretRequired=false
2023-11-18 12:10:06,816 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: enabled HTTP/2
2023-11-18 12:10:06,816 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set scheme=http
2023-11-18 12:10:06,816 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set secure=false
2023-11-18 12:10:06,817 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set URIEncoding=UTF-8
2023-11-18 12:10:06,818 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set xpoweredBy=false
2023-11-18 12:10:06,818 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compression=on
2023-11-18 12:10:06,818 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-11-18 12:10:06,819 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: enabled HTTP/2
2023-11-18 12:10:06,819 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set scheme=https
2023-11-18 12:10:06,820 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set secure=true
2023-11-18 12:10:06,821 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set SSLEnabled=true
2023-11-18 12:10:06,822 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set URIEncoding=UTF-8
2023-11-18 12:10:06,823 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set xpoweredBy=false
2023-11-18 12:10:06,823 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compression=on
2023-11-18 12:10:06,823 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-11-18 12:10:06,824 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set sslImplementationName=org.apache.tomcat.util.net.jsse.JSSEImplementation
2023-11-18 12:10:06,835 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_: set keyManagerAlgorithm=SunX509
2023-11-18 12:10:06,840 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreFile=framework/base/config/ofbizssl.jks
2023-11-18 12:10:06,840 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreType=JKS
2023-11-18 12:10:06,840 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyAlias=ofbiz
2023-11-18 12:10:06,841 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyPassword
2023-11-18 12:10:06,852 |main                 |CatalinaContainer             |I| Creating context [webpos]
2023-11-18 12:10:06,853 |main                 |CatalinaContainer             |I| Creating context [solr]
2023-11-18 12:10:06,853 |main                 |CatalinaContainer             |I| Creating context [scrumdemo]
2023-11-18 12:10:06,853 |main                 |CatalinaContainer             |I| Creating context [scrum]
2023-11-18 12:10:06,854 |main                 |CatalinaContainer             |I| Creating context [api-docs]
2023-11-18 12:10:06,854 |main                 |CatalinaContainer             |I| Creating context [rest-api]
2023-11-18 12:10:06,854 |main                 |CatalinaContainer             |I| Creating context [projectmgr]
2023-11-18 12:10:06,854 |main                 |CatalinaContainer             |I| Creating context [pricatdemo]
2023-11-18 12:10:06,855 |main                 |CatalinaContainer             |I| Creating context [pricat]
2023-11-18 12:10:06,855 |main                 |CatalinaContainer             |I| Creating context [prashuDemo]
2023-11-18 12:10:06,855 |main                 |CatalinaContainer             |I| Creating context [passport]
2023-11-18 12:10:06,855 |main                 |CatalinaContainer             |I| Creating context [ofbizDemo]
2023-11-18 12:10:06,855 |main                 |CatalinaContainer             |I| Creating context [myportal]
2023-11-18 12:10:06,856 |main                 |CatalinaContainer             |I| Creating context [multiflex]
2023-11-18 12:10:06,856 |main                 |CatalinaContainer             |I| Creating context [msggateway]
2023-11-18 12:10:06,856 |main                 |CatalinaContainer             |I| Creating context [content]
2023-11-18 12:10:06,856 |main                 |CatalinaContainer             |I| Creating context [firstdata]
2023-11-18 12:10:06,856 |main                 |CatalinaContainer             |I| Creating context [exampleext]
2023-11-18 12:10:06,857 |main                 |CatalinaContainer             |I| Creating context [example]
