2023-12-27 15:43:23,941 |delegator-startup-1  |GenericDelegator              |W| =-=-=-=-= Found 2 warnings when checking the entity definitions:
2023-12-27 15:43:23,941 |delegator-startup-1  |GenericDelegator              |W| [FieldNameGT30] Column name [CORRECT_QUESTIONS_IN_THIS_TOPIC] of entity UserAttemptTopicMaster is longer than 30 characters.
2023-12-27 15:43:23,941 |delegator-startup-1  |GenericDelegator              |W| [RelFKNameGT18] The foreign key named DEPTID_IS_THE_PRIMKEY (length:21) was greater than 18 characters in length for relation department of entity employee.
2023-12-27 15:43:23,945 |OFBiz-batch-1        |GenericDelegator              |I| Delegator "default" initializing helper "localpostgresolap" for entity group "org.apache.ofbiz.olap".
2023-12-27 15:43:23,948 |OFBiz-batch-2        |GenericDelegator              |I| Delegator "default" initializing helper "localpostgres" for entity group "org.apache.ofbiz".
2023-12-27 15:43:23,949 |OFBiz-batch-3        |GenericDelegator              |I| Delegator "default" initializing helper "localpostgrestenant" for entity group "org.apache.ofbiz.tenant".
2023-12-27 15:43:23,957 |OFBiz-batch-3        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2023-12-27 15:43:23,959 |OFBiz-batch-1        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2023-12-27 15:43:23,959 |OFBiz-batch-2        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2023-12-27 15:43:24,591 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2023-12-27 15:43:24,592 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Product Version is 12.16
2023-12-27 15:43:24,592 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver Name is PostgreSQL JDBC Driver
2023-12-27 15:43:24,592 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver Version is 42.6.0
2023-12-27 15:43:24,593 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2023-12-27 15:43:24,593 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Product Version is 12.16
2023-12-27 15:43:24,593 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver Name is PostgreSQL JDBC Driver
2023-12-27 15:43:24,593 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver Version is 42.6.0
2023-12-27 15:43:24,594 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-12-27 15:43:24,595 |OFBiz-batch-3        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-12-27 15:43:24,595 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2023-12-27 15:43:24,595 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Product Version is 12.16
2023-12-27 15:43:24,595 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Driver Name is PostgreSQL JDBC Driver
2023-12-27 15:43:24,595 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Driver Version is 42.6.0
2023-12-27 15:43:24,595 |OFBiz-batch-3        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-12-27 15:43:24,595 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-12-27 15:43:24,595 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation None            [false]
2023-12-27 15:43:24,595 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-12-27 15:43:24,595 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-12-27 15:43:24,595 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-12-27 15:43:24,595 |OFBiz-batch-3        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-12-27 15:43:24,596 |OFBiz-batch-3        |DatabaseUtil                  |I| - forward only type         [true]
2023-12-27 15:43:24,596 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-12-27 15:43:24,596 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-12-27 15:43:24,596 |OFBiz-batch-3        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-12-27 15:43:24,596 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-12-27 15:43:24,596 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-12-27 15:43:24,596 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-27 15:43:24,597 |OFBiz-batch-2        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-12-27 15:43:24,597 |OFBiz-batch-2        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-12-27 15:43:24,597 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation None            [false]
2023-12-27 15:43:24,597 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-12-27 15:43:24,597 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-12-27 15:43:24,597 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-12-27 15:43:24,597 |OFBiz-batch-2        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-12-27 15:43:24,597 |OFBiz-batch-2        |DatabaseUtil                  |I| - forward only type         [true]
2023-12-27 15:43:24,598 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-12-27 15:43:24,598 |OFBiz-batch-2        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-12-27 15:43:24,598 |OFBiz-batch-2        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-12-27 15:43:24,598 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-12-27 15:43:24,598 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-12-27 15:43:24,598 |OFBiz-batch-2        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-27 15:43:24,599 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2023-12-27 15:43:24,599 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2023-12-27 15:43:24,599 |OFBiz-batch-1        |DatabaseUtil                  |I| - supports transactions     [true]*
2023-12-27 15:43:24,599 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation None            [false]
2023-12-27 15:43:24,599 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2023-12-27 15:43:24,600 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2023-12-27 15:43:24,600 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2023-12-27 15:43:24,600 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation Serializable    [true]
2023-12-27 15:43:24,600 |OFBiz-batch-1        |DatabaseUtil                  |I| - forward only type         [true]
2023-12-27 15:43:24,600 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2023-12-27 15:43:24,600 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-12-27 15:43:24,600 |OFBiz-batch-1        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-12-27 15:43:24,600 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-12-27 15:43:24,601 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-12-27 15:43:24,601 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-27 15:43:24,608 |OFBiz-batch-3        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-27 15:43:24,608 |OFBiz-batch-3        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-27 15:43:24,608 |OFBiz-batch-2        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-27 15:43:24,608 |OFBiz-batch-2        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-27 15:43:24,608 |OFBiz-batch-2        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-12-27 15:43:24,609 |OFBiz-batch-2        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-12-27 15:43:24,609 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-12-27 15:43:24,609 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-12-27 15:43:24,609 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-12-27 15:43:24,609 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-12-27 15:43:24,610 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-12-27 15:43:24,610 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-12-27 15:43:24,610 |OFBiz-batch-2        |DatabaseUtil                  |I| - outer joins               [true]*
2023-12-27 15:43:24,610 |OFBiz-batch-2        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-12-27 15:43:24,610 |OFBiz-batch-2        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-27 15:43:24,610 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-27 15:43:24,611 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-27 15:43:24,611 |OFBiz-batch-2        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-27 15:43:24,611 |OFBiz-batch-2        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-27 15:43:24,611 |OFBiz-batch-2        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-27 15:43:24,611 |OFBiz-batch-2        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-27 15:43:24,612 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-12-27 15:43:24,612 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-12-27 15:43:24,612 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-12-27 15:43:24,612 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-12-27 15:43:24,612 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-12-27 15:43:24,612 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-12-27 15:43:24,612 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-12-27 15:43:24,612 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-12-27 15:43:24,613 |OFBiz-batch-3        |DatabaseUtil                  |I| - outer joins               [true]*
2023-12-27 15:43:24,613 |OFBiz-batch-3        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-12-27 15:43:24,613 |OFBiz-batch-3        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-27 15:43:24,613 |OFBiz-batch-2        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-27 15:43:24,613 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-27 15:43:24,613 |OFBiz-batch-2        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-27 15:43:24,613 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-27 15:43:24,613 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-27 15:43:24,613 |OFBiz-batch-3        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-27 15:43:24,613 |OFBiz-batch-3        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-27 15:43:24,613 |OFBiz-batch-3        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-27 15:43:24,613 |OFBiz-batch-3        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-27 15:43:24,614 |OFBiz-batch-3        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-27 15:43:24,614 |OFBiz-batch-3        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-27 15:43:24,614 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-27 15:43:24,638 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-27 15:43:24,656 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-27 15:43:24,678 |OFBiz-batch-3        |DatabaseUtil                  |I| Reviewed 8 primary key fields from database.
2023-12-27 15:43:24,748 |OFBiz-batch-1        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-27 15:43:24,748 |OFBiz-batch-1        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-27 15:43:24,748 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-12-27 15:43:24,748 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-12-27 15:43:24,748 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-12-27 15:43:24,748 |OFBiz-batch-1        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
