2023-11-29 10:14:46,350 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [661] milliseconds
2023-11-29 10:14:46,353 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-29 10:14:46,354 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [740] milliseconds
2023-11-29 10:14:48,382 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [2788] milliseconds
2023-11-29 10:14:48,389 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15158] -- Next runtime: Wed Nov 29 11:14:48 IST 2023
2023-11-29 10:14:48,391 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-11-29 10:14:48,392 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2023-11-29 10:14:48,393 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-29 10:14:48,393 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [4] milliseconds
2023-11-29 10:14:48,405 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [16] milliseconds
2023-11-29 10:14:49,608 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [3996] milliseconds
2023-11-29 10:23:45,957 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15166] -- Next runtime: Wed Nov 29 10:38:45 IST 2023
2023-11-29 10:23:45,979 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15165] -- Next runtime: Wed Nov 29 10:38:45 IST 2023
2023-11-29 10:23:50,737 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [4778] milliseconds
2023-11-29 10:23:53,032 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [7052] milliseconds
2023-11-29 10:24:16,016 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15167] -- Next runtime: Wed Nov 29 10:39:16 IST 2023
2023-11-29 10:24:18,867 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2850] milliseconds
2023-11-29 10:38:46,523 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15171] -- Next runtime: Wed Nov 29 10:53:46 IST 2023
2023-11-29 10:38:46,529 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15172] -- Next runtime: Wed Nov 29 10:53:46 IST 2023
